Unnamed: 0,Data,Label
210638,analisis koreksi fiskal terhadap laporan keuangan komersial pada ukm “batik jumputan” kota palembang penelitian ini bertujuan untuk mendapatkan pemahaman tentang sejauh mana penyusunan laporan keuangan fiskal ukm batik jumputan telah sesuai dengan peraturan perpajakan yang berlaku selain itu penelitian ini bertujuan untuk memahami bagaimana penerapan rekonsiliasi fiskal terhadap laporan keuangan komersial ukm batik jumputan mengidentifikasi penyebab perbedaan antara laporan keuangan komersial dan fiskal serta mengukur dampak yang terjadi pada laporan keuangan perusahaan setelah dilakukan koreksi fiskal yang menjadi dasar perhitungan pph badan,-1.0
210652,rancang bangun tampilan seven segment pada alat baby incubator berbasis mikrokontroler atmega 89s52 rancang bangun tampilan seven segment hal ini dilakukan karena seven segment mempunyai beberapa keunggulan dibanding dengan system analog keunggulan tersebut antara lain dapat mempresentasikan sinyal pada tampilan seven segment dengan menggunakan bahasa  dan  atau low dan high sehingga system ini dapat dipakai untuk tujuan tertentu system tampilan seven segment juga mempunyai tingkat keakuratan yang lebih tinggi karena hasil dapat langsung dibaca pada papan peraga karena keunggulan tersebut timbul gagasan untuk membuat pesawat baby incubator dengan tampilan seven segment yang layak pakai dan suhu yang dapat dikontrol sesuai dengan suhu yang cocok untuk perawatan bagi bayi yang lahir premature,-1.0
210678,efektivitas layanan bantuan hukum gratis  di rutan tanjung gusta klas 1 medan pada permulaannya eksistensi hukum diyakini menjadi pelindung ketertiban masyarakat namun perkara melanggar ketertiban maupun hukum tersebut angka kejadiannya di masyarakat semakin tidak terhitung sebab sudah massif kondisi terkini pembangunan hukum saat ini secara umum belum sesuai dengan apa yang diharapkan sistem hukum selalu mengedepankan kepastian hukum dalam bentuk aturan hukum yang normatif positif semata yang mempengaruhi pemikiran para sarjana hukum menjadi salah satu penyebab belum berhasilnya penegakan hukum namun keberadaan posbakum seakan menjadi bukti nyata bahwa negara tidak hanya bertugas untuk mengawasi dan mengatur proses pemberian bantuan hukum tetapi juga ikut andil secara langsung selama pembantuan hukum ke masyarakat maka dari itu tujuan penelitian ini adalah untuk menganalisis efektivitas layanan bantuan hukum gratis di rutan tanjung gusta kelas i dalam membantu tahanan memperoleh hakhak mereka metode penelitian yang digunakan adalah menggunakan teknik purposive sampling yaitu dengan cara memilih tahanan yang secara sukarela mengikuti penelitian dan memenuhi kriteria inklusi kesimpulan yang diperoleh berdasarkan hasil penelitian yakni praktik layanan bantuan hukum gratis di rutan tanjung gusta klas  medan memiliki peranan penting dalam melaksanakan tujuan bantuan hukum bagi masyarakat yang membutuhkan dan memberikan sumbangsih positif bagi peningkatan kualitas penanganan perkara bagi masyarakat tidak mampu yang sedang menempuh jalur hukum di rutan tersebut,-1.0
210683,efektivitas model pembelajaran berbasis masalah berkolaborasi google classrom dalam meningkatkan keterampilan menulis teks eksplanasi studi ini bertujuan untuk menjelaskan peningkatan keterampilan menulis eksplanasi dengan menggunakan model pbm dipadukan dengan google classroom subjek dalam penelitian ini adalah siswa kelas xi otkp smk ypk medan tahun pelajaran  yang berjumlah  siswa metode tes meliputi tes tertulis yang menyediakan data kuantitatif metode nontes terdiri dari lembaran observasi dokumen dan survei kepuasan siswa saat sedang belajar dan disediakan melalui tautan ke pertanyaan hasilnya ditemukan bahwa efektifitas menulis teks eksplanasi siswa meningkat respon belajar siswa berada pada kategori baik artinya nilai ratarata  dan tingkat ketuntasan  pada siklus i dan untuk siklus ii ratarata nilai siswa  dan tingkat ketuntasan ,-1.0
210692,penerapan hukuman mati pada tersangka yang memiliki penyimpangan seksual pada anak di bawah umur kekerasan seksual adalah salah satu kejahatan yang meningkat tiap tahun tindak pidana kekerasan seksual selalu meresahkan masyarakat korban yang menjadi kekerasan seksual tidak memandang usia dan gender anak di bawah umur sering menjadi korban pelampiasan nafsu seksual dari orang dewasa anak di bawah umur dianggap lemah dan belum mempunyai kekuatan fisik untuk melindungi dirinya sendiri dari kejahatan seksual tersebut di indonesia beberapa undangundang mengatur perlindungan anak dari kejahatan seksual dalam kuhp diatur dalam pasal   dan  selanjutnya dalam uu no  tahun  berisi perlindungan anak dan berubah menjadi uu no  tahun  berisi perubahan undangundang perlindungan anak nomor  tahun  juga memberikan perlindungan khusus terhadap tindak pidana kekerasan seksual diatur dalam pasal  dan ,-1.0
210714,peran rekonstruksi dalam mengungkap kasus kecelakaan lalu lintas (studi kasus di satlantas polres labuhan batu) pentingnya rekonstruksi dalam mengungkap kasus kecelakaan lalu lintas di satlantas polres labuhan batu yakni pertama untuk memperjelas adanya tindak pidana yang dilakukan oleh tersangka dan kedua untuk mendapat gambaran yang jelas tentang terjadinya suatu tindak pidana tersebut pelaksanaan rekonstruksi dalam pengungkapan kasus kecelakaan lalu lintas di satlantaspolres labuhan batu dapat dilihat melalui  tahap yaitu pertama tahap persiapan rekonstruksi kedua tahap pelaksanaan rekonstruksi ketiga yaitu tahap pembuatan berita acara rekonstruksi faktor penghambat penyidik dalam melaksanakan rekonstruksi pengungkapan kasus kecelakaan lalu lintas di satlantaspolres labuhan batu meliputi faktor internal dan faktor eksternal sebagaimana faktor internal terhambat karena faktor dari personil petugas dan faktor minimnya sarana dan prasarana sedangkan faktor eksternal diantaranya faktor tempat kejadian perkara tkp yang cukup luas faktor waktu faktor cuaca dan faktor masyarakat,-1.0
210729,analisis sektor unggul dalam penunjang perekonomian di kabupaten berau tahun 2010-2019 the research has the objective of having a superior zone in berau regency and being in a location close to the berau regency government to increase the zone that has the energy that regulates the level of economic development in berau regency the results of the location quotient lq analysis obtained from the  average can be recognized that those categorized into the base zone in berau regency are the zones which include the zones of agriculture forestry and fisheries mining and quarrying water supply waste management  recycled waste wholesale and retail trade repair of cars and motorbikes transportation and warehousing provision of dining and drinking accommodations real estate learning services health services and social activities and other services the zone is categorized in the base zone because it has an lq   value as well as the results of the analysis of shift share ss the basis of the zone that has competitive energy is the mining and quarrying wholesale and retail zones car and motorcycle repair transportation and warehousing real estate health services and social activities researchers apply to the berau regency government to prioritize the development of zones categorized on a zone basis and have great information to support the economy of berau regency,-1.0
210730,peran lembaga perlindungan saksi dan korban (lpsk) perwakilan medan terhadap anak korban tindak pidana perdagangan orang (tppo) human trafficking atau perdagangan orang menarik perhatian diseluruh dunia tidak sedikit kasus perdagangan orang telah terjadi di kota medan maka dari itu pemerintah kota medan menerbitkan peraturan daerah kota medan nomor  tahun  tentang pencegahan dan penanganan korban perdagangan orang dibentuklah lembaga bernama lembaga perlindungan saksi dan korban dan bertujuan untuk melindungi saksi dan korban dalam berbagai kasus tidak hanya dalam kasus perdagangan orang lembaga ini dibentuk berdasarkan undangundang nomor  tahun  penelitian ini menggunakan metode normatif empiris,-1.0
210742,rancang bangun start rangkaian buzzer pada alat infant warmer berbasis mikrokontroller atmega 8535 bidang kesehatan merupakan salah satu bidang yang menjadi prioritas utama dalam pembangunan bangsa indonesia dan kesehatan adalah salah satu faktor penting yang menjadi perhatian banyak orang demikian juga dengan alat alat kedokteran namun seiring perkembangannya iptek diikuti juga permasalahan yang menghambat pembangunan bangsa indonesia yaitu angka kelahiran bayi dan angka kematian bayi angka kematian bayi lebih besar dari angka kelahiran bayi dikarenakan kelahiran bayi yang tidak dikehendaki biasanya hal tersebut dikarenakan pergaulan bebas lingkungan tekanan dari dalam diri pengguguran karena kelahiran tidak diinginkan penyakit pada diri bayi itu sendiri untuk mencegah penyakit dalam diri bayi tersebut dibutuhkan alat kesehatan yang mendukung proses bertahannya bayi setelah keluar dari rahim atau lahir sebelum masa melahirkan premature salah satu alat tersebut adalah infant warmer pada penelitian ini penulis melakukan penelitian pada di bagian buzzer dimana buzzer akan memberikan peringatan berupa getaran suara kepada user atau operator pernah terjadi kasus bayi terpanggang dalam inkubator pada  november  di rumah sakit bersalin bunda makassar kasus tersebut diakibatkan kelalaian operator atau user dalam pengoperasian maka dari itu penulis membuat karya tulis ilmiah dengan judul rancang bangun start rangkaian buzzer pada alat infant warmer berbasis atmega  pada rangkaian tersebut buzzer aktif menandakan suhu dibawah batas suhu minimal suhu diatas batas suhu maksimal dan juga menandakan tegangan pada baterai dalam kondisi menurun,-1.0
210753,pengaruh promosi dan pemasaran digital terhadap minat menabung masyarakat pada bank sumsel babel penelitian ini dilakukan bertujuan untuk mengetahui pengaruh promosi dan pemasaran digital terhadap minat menabung masyarakat pada bank sumsel babel populasi dalam penelitian ini adalah seluruh nasabah tabungan pada bank sumsel babel pada tahun  sebanyak    nasabah maka hasil perhitungan sampel menggunakan teknik purposive sampling maka responden dalam penelitian ini adalah nasabah aktif bank sumsel babel pada kategori jenis layanan tabungan pada tahun  sebanyak  nasabah hasil dari analisis linier berganda menunjukkan bahwa promosi dan pemasaran digital berpengaruh positif dan signifikan terhadap minat menabung masyarakat pada bank sumsel babel promosi dilakukan pemilihan karyawan yang berkompeten di bidang pelayanan nasabah serta penambahan hubungan kerjasama dengan banyak brand untuk dapat memberikan promosi yang lebih banyak dan menarik pemasaran digital penambahan untuk jumlah karyawan sebagai admin social media serta pemberian diskon yang sangat menarik menjadi salah satu harapan nasabah bank sumsel babel,-1.0
